Rank,Tier,Name,Type,Stages,Sectors,Score
1,TIER 1,BLACKFINCH INVESTMENTS LIMITED,VC,"Pre-Revenue, Early Revenue, Revenue, Growth","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",150
2,TIER 1,Cambridge Angels,Angel Network,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",150
3,TIER 1,Equity Gap Limited,Angel Network,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",150
4,TIER 1,ETF Partners,VC,"Pre-Revenue, Early Revenue, Revenue, Growth","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",150
5,TIER 1,Foresight Group LLP,VC,"Pre-Revenue, Early Revenue, Revenue, Growth","Clean Energy Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",150
6,TIER 1,HG Ventures,VC,"Pre-Revenue, Early Revenue, Revenue, Growth","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Defence and Security, Advanced Manufacturing",150
7,TIER 1,IQ Capital Partners LLP,VC,"Pre-Revenue, Early Revenue, Revenue, Growth","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",150
8,TIER 1,Jenson Funding Partners LLP,VC,"Pre-Revenue, Early Revenue, Revenue, Growth","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",150
9,TIER 1,Maven Capital partners UK LLP,VC,"Pre-Revenue, Early Revenue, Revenue, Growth","Clean Energy Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",150
10,TIER 1,Mercia Asset Management Plc,VC,"Pre-Revenue, Early Revenue, Revenue, Growth","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",150
11,TIER 1,Octopus Ventures Limited,VC,"Pre-Revenue, Early Revenue, Revenue, Growth","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",150
12,TIER 1,Oxford Investment Opportunity Network Limited (OION),Angel Network,"Pre-Revenue, Early Revenue, Revenue, Growth","Advanced Manufacturing, Clean Energy Industries, Digital and Technologies, Life Sciences",150
13,TIER 1,Constructor Capital I GP Ltd.,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Defence and Security, Advanced Manufacturing",145
14,TIER 1,CPT Capital LLP,VC,"Pre-Revenue, Early Revenue, Revenue, Growth","Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",145
15,TIER 1,Deepbridge Capital,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",145
16,TIER 1,Emles Venture,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security",145
17,TIER 1,Extantia,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Defence and Security, Advanced Manufacturing",145
18,TIER 1,IP Group Plc,VC,"Pre-Revenue, Early Revenue, Revenue, Growth","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",145
19,TIER 1,Kelvin Capital Limited,VC,"Pre-Revenue, Early Revenue, Revenue, Growth","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",145
20,TIER 1,M Ventures,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",145
21,TIER 1,Norrsken VC,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",145
22,TIER 1,Northern Investor Hub,Angel Network,"Pre-Revenue, Early Revenue, Revenue","Advanced Manufacturing, Clean Energy Industries, Digital and Technologies, Life Sciences",145
23,TIER 1,Old College Capital,Corporate VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",145
24,TIER 1,Playfair Capital,VC,"Pre-Revenue, Early Revenue, Revenue","Digital and Technologies, Advanced Manufacturing, Clean Energy Industries, Advanced Manufacturing, Life Sciences, Creative Industries, Financial Services",145
25,TIER 1,Redalpine Venture Partners,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",145
26,TIER 1,Seneca Partners,VC,"Pre-Revenue, Early Revenue, Revenue, Growth, Mature","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",145
27,TIER 1,SFC Capital Ltd,VC,"Pre-Revenue, Early Revenue, Revenue","Digital and Technologies, Creative Industries, Advanced Manufacturing, Clean Energy Industries, Life Sciences, Financial Services",145
28,TIER 1,University of Sussex Business Angels,Accelerator / Incubator,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Digital and Technologies, Advanced Manufacturing",145
29,TIER 1,British Design Fund Advisors,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",140
30,TIER 1,Chrysalix Venture Capital,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",140
31,TIER 1,Development Bank of Wales,Corporate VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",140
32,TIER 1,EARLYMARKET,Family Office,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",140
33,TIER 1,EHE Venture Studio & AI Fund,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",140
34,TIER 1,ELBOW BEACH CAPITAL,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",140
35,TIER 1,HERMESA,Angel Network,"Pre-Revenue, Early Revenue","Clean Energy Industries, Financial Services, Digital and Technologies, Life Sciences, Advanced Manufacturing",140
36,TIER 1,Kero Limited,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",140
37,TIER 1,Northern Gritstone Limited,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",140
38,TIER 1,Northstar Ventures Limited,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",140
39,TIER 1,Oxford Science Enterprises Plc,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",140
40,TIER 1,PDS Ventures,Corporate VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",140
41,TIER 1,Pioneer Group,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",140
42,TIER 1,QANTX,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",140
43,TIER 1,Round2 Capital,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",140
44,TIER 1,Baltic Ventures,Accelerator / Incubator,"Pre-Revenue, Early Revenue","Clean Energy Industries, Digital and Technologies",135
45,TIER 1,Creator Fund,VC,"Pre-Revenue, Early Revenue","Advanced Manufacturing, Clean Energy Industries, Defence and Security, Digital and Technologies, Financial Services, Life Sciences",135
46,TIER 1,Empirical Ventures (Spin Up Science Ventures),VC,"Pre-Revenue, Early Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",135
47,TIER 1,Epidarex Management Limited,VC,"Pre-Revenue, Early Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Advanced Manufacturing",135
48,TIER 1,Firstminute Capital,VC,"Pre-Revenue, Early Revenue","Advanced Manufacturing, Clean Energy Industries, Creative Industries, Defence and Security, Digital and Technologies, Financial Services, Life Sciences",135
49,TIER 1,GC ANGELS,Angel Network,"Pre-Revenue, Early Revenue","Clean Energy Industries, Digital and Technologies, Advanced Manufacturing",135
50,TIER 1,ONE PLANET CAPITAL,VC,"Pre-Revenue, Early Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Defence and Security, Advanced Manufacturing",135
51,TIER 1,Science Creates Ventures LLP (now SCVC),Accelerator / Incubator,"Pre-Revenue, Early Revenue","Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",135
52,TIER 1,SUPERSEED VENTURES LLP,VC,"Pre-Revenue, Early Revenue","Clean Energy Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",135
53,TIER 1,Sustainable Venture Development Partners Ltd,VC,"Pre-Revenue, Early Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",135
54,TIER 1,TECHSTART VENTURES,VC,"Pre-Revenue, Early Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",135
55,TIER 1,East Innovate Ltd,VC,"Pre-Revenue, Early Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",130
56,TIER 1,Green angel Ventures,VC,"Pre-Revenue, Early Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",130
57,TIER 1,Hoxton Ventures,VC,"Pre-Revenue, Early Revenue","Advanced Manufacturing, Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences",130
58,TIER 1,Oxford Technology,VC,"Pre-Revenue, Early Revenue","Life Sciences, Digital and Technologies, Advanced Manufacturing, Creative Industries, Clean Energy Industries",130
59,TIER 1,Paragon Capital,VC,"Pre-Revenue, Early Revenue","Life Sciences, Digital and Technologies, Clean Energy Industries, Advanced Manufacturing",130
60,TIER 1,Salonica Group,Corporate VC,"Pre-Revenue, Early Revenue","Advanced Manufacturing, Clean Energy Industries, Digital and Technologies, Life Sciences",130
61,TIER 1,Scottish National Investment Bank,Corporate VC,"Pre-Revenue, Early Revenue, Revenue, Growth, Mature",Clean Energy Industries,130
62,TIER 1,Turquoise International Limited,VC,"Pre-Revenue, Early Revenue","Clean Energy Industries, Advanced Manufacturing, Digital and Technologies",130
63,TIER 1,Zero Carbon Capital,VC,"Pre-Revenue, Early Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",130
64,TIER 1,ZINC VENTURES,VC,"Pre-Revenue, Early Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",130
65,TIER 1,ADA PARTNERS,VC,"Pre-Revenue, Revenue","Clean Energy Industries, Digital and Technologies, Advanced Manufacturing, Creative Industries, Financial Services",125
66,TIER 1,HICO Investment Group,Family Office,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Advanced Manufacturing",125
67,TIER 1,Longwall Venture Partners LLP,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Life Sciences, Advanced Manufacturing",125
68,TIER 1,Nesta,Not-for-Profit VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Advanced Manufacturing, Creative Industries",125
69,TIER 1,Norrsken Launcher ,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Life Sciences, Advanced Manufacturing",125
70,TIER 1,Oyster Bay,VC,"Pre-Revenue, Early Revenue, Revenue","Advanced Manufacturing, Clean Energy Industries",125
