117,117 Raw,118,118 Raw,59,59 Raw,63,63 Raw,id
"Digital and Technologies, Financial Services","Digital and Technologies, Financial Services",VC,VC,1818 Venture Capital Limited,1818 Venture Capital Limited,"Early Revenue, Revenue","Early Revenue, Revenue",69319c169e24cd0435b60830
"Advanced Manufacturing, Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences","Advanced Manufacturing, Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences",VC,VC,24Haymarket Limited,24Haymarket Limited,"Early Revenue, Revenue, Growth","Early Revenue, Revenue, Growth",69319c169e24cd0435b60833
"Digital and Technologies, Financial Services","Digital and Technologies, Financial Services",VC,VC,6 Degrees Capital,6 Degrees Capital,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c169e24cd0435b60836
"Clean Energy Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,ACT Venture Partners,ACT Venture Partners,"Early Revenue, Revenue, Growth","Early Revenue, Revenue, Growth",69319c169e24cd0435b60839
"Clean Energy Industries, Digital and Technologies, Advanced Manufacturing, Creative Industries, Financial Services","Clean Energy Industries, Digital and Technologies, Advanced Manufacturing, Creative Industries, Financial Services",VC,VC,ADA PARTNERS,ADA PARTNERS,"Pre-Revenue, Revenue","Pre-Revenue, Revenue",69319c169e24cd0435b6083c
"Advanced Manufacturing, Clean Energy Industries","Advanced Manufacturing, Clean Energy Industries",Accelerator / Incubator,Accelerator / Incubator,Aer Ventures,Aer Ventures,"Early Revenue, Pre-Revenue","Early Revenue, Pre-Revenue",69319c179e24cd0435b60842
"Advanced Manufacturing, Clean Energy Industries","Advanced Manufacturing, Clean Energy Industries",VC,VC,AgFunder,AgFunder,,,69319c179e24cd0435b60845
"Clean Energy Industries, Advanced Manufacturing","Clean Energy Industries, Advanced Manufacturing",Public-Private Partnership,Public-Private Partnership,AgriZeroNZ,AgriZeroNZ,"Pre-Revenue, Early Revenue, Growth","Pre-Revenue, Early Revenue, Growth",69319c179e24cd0435b60848
"Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing","Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Albion Capital Group LLP,Albion Capital Group LLP,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c179e24cd0435b6084b
"Creative Industries, Life Sciences","Creative Industries, Life Sciences",Angel Network,Angel Network,ALMA ANGELS LTD,ALMA ANGELS LTD,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c179e24cd0435b6084e
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Amadeus Capital Partners Ltd,Amadeus Capital Partners Ltd,,,69319c179e24cd0435b60851
Digital and Technologies,Digital and Technologies,Angel Network,Angel Network,Angel Academe,Angel Academe,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c179e24cd0435b60854
